seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
KDTM_D30_1,Kinh doanh thương mại,"Tranh chấp kinh doanh, thương mại",30,1,"Tranh chấp phát sinh trong hoạt động kinh doanh, thương mại giữa cá nhân, tổ chức có đăng ký kinh doanh với nhau và đều có mục đích lợi nhuận","Điều 30 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D30_2,Kinh doanh thương mại,"Tranh chấp kinh doanh, thương mại",30,2,"Tranh chấp về quyền sở hữu trí tuệ, chuyển giao công nghệ giữa cá nhân, tổ chức với nhau và đều có mục đích lợi nhuận","Điều 30 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D30_3,Kinh doanh thương mại,"Tranh chấp kinh doanh, thương mại",30,3,"Tranh chấp giữa người chưa phải là thành viên công ty nhưng có giao dịch về chuyển nhượng phần vốn góp với công ty, thành viên công ty","Điều 30 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D30_4,Kinh doanh thương mại,"Tranh chấp kinh doanh, thương mại",30,4,"Tranh chấp giữa công ty với thành viên/người quản lý; giữa các thành viên công ty với nhau liên quan đến thành lập, hoạt động, giải thể, sáp nhập, hợp nhất, chia, tách, bàn giao tài sản, chuyển đổi hình thức tổ chức của công ty","Điều 30 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D30_5,Kinh doanh thương mại,"Tranh chấp kinh doanh, thương mại",30,5,"Các tranh chấp khác về kinh doanh, thương mại, trừ trường hợp thuộc thẩm quyền của cơ quan, tổ chức khác","Điều 30 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D31_1,Kinh doanh thương mại,"Việc kinh doanh, thương mại",31,1,"Yêu cầu hủy bỏ nghị quyết của Đại hội đồng cổ đông, nghị quyết của Hội đồng thành viên","Điều 31 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D31_2,Kinh doanh thương mại,"Việc kinh doanh, thương mại",31,2,Yêu cầu liên quan đến việc Trọng tài thương mại Việt Nam giải quyết tranh chấp,"Điều 31 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D31_3,Kinh doanh thương mại,"Việc kinh doanh, thương mại",31,3,"Yêu cầu bắt giữ tàu bay, tàu biển theo pháp luật hàng không dân dụng, hàng hải, trừ bắt giữ để bảo đảm giải quyết vụ án","Điều 31 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D31_4,Kinh doanh thương mại,"Việc kinh doanh, thương mại",31,4,"Yêu cầu công nhận và cho thi hành tại Việt Nam hoặc không công nhận bản án, quyết định kinh doanh, thương mại của Tòa án nước ngoài; hoặc không công nhận khi không có yêu cầu thi hành tại Việt Nam","Điều 31 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
KDTM_D31_5,Kinh doanh thương mại,"Việc kinh doanh, thương mại",31,5,"Yêu cầu công nhận và cho thi hành tại Việt Nam phán quyết kinh doanh, thương mại của Trọng tài nước ngoài","Điều 31 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
