seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
HNGD_D28_1,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,1,"Ly hôn, tranh chấp về nuôi con, chia tài sản khi ly hôn; chia tài sản sau khi ly hôn","Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_2,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,2,Tranh chấp về chia tài sản chung của vợ chồng trong thời kỳ hôn nhân,"Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_3,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,3,Tranh chấp về thay đổi người trực tiếp nuôi con sau khi ly hôn,"Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_4,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,4,"Tranh chấp về xác định cha, mẹ cho con hoặc xác định con cho cha, mẹ","Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_5,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,5,Tranh chấp về cấp dưỡng,"Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_6,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,6,"Tranh chấp về sinh con bằng kỹ thuật hỗ trợ sinh sản, mang thai hộ vì mục đích nhân đạo","Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 6",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_7,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,7,"Tranh chấp về nuôi con, chia tài sản của nam, nữ chung sống như vợ chồng mà không đăng ký kết hôn hoặc khi hủy kết hôn trái pháp luật","Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 7",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D28_8,Hôn nhân và gia đình,Tranh chấp hôn nhân và gia đình,28,8,"Các tranh chấp khác về hôn nhân và gia đình, trừ trường hợp thuộc thẩm quyền của cơ quan, tổ chức khác","Điều 28 Bộ luật Tố tụng dân sự, khoản/mục 8",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D29_1,Hôn nhân và gia đình,Việc hôn nhân và gia đình,29,1,Yêu cầu hủy việc kết hôn trái pháp luật,"Điều 29 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
HNGD_D29_2,Hôn nhân và gia đình,Việc hôn nhân và gia đình,29,2,"Yêu cầu công nhận thuận tình ly hôn, thỏa thuận nuôi con, chia tài sản khi ly hôn","Điều 29 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
