seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
DS_D26_1,Dân sự,Tranh chấp dân sự,26,1,Tranh chấp về quốc tịch Việt Nam giữa cá nhân với cá nhân,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_2,Dân sự,Tranh chấp dân sự,26,2,Tranh chấp về quyền sở hữu và các quyền khác đối với tài sản,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_3,Dân sự,Tranh chấp dân sự,26,3,"Tranh chấp về giao dịch dân sự, hợp đồng dân sự","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_4,Dân sự,Tranh chấp dân sự,26,4,"Tranh chấp về quyền sở hữu trí tuệ, chuyển giao công nghệ, trừ trường hợp quy định tại khoản 2 Điều 30","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 4",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_5,Dân sự,Tranh chấp dân sự,26,5,Tranh chấp về thừa kế tài sản,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 5",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_6,Dân sự,Tranh chấp dân sự,26,6,Tranh chấp về bồi thường thiệt hại ngoài hợp đồng,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 6",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_7,Dân sự,Tranh chấp dân sự,26,7,"Tranh chấp về bồi thường thiệt hại do áp dụng biện pháp ngăn chặn hành chính không đúng theo pháp luật về cạnh tranh, trừ trường hợp được giải quyết trong vụ án hành chính","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 7",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_8,Dân sự,Tranh chấp dân sự,26,8,"Tranh chấp về khai thác, sử dụng tài nguyên nước, xả thải vào nguồn nước theo Luật Tài nguyên nước","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 8",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_9,Dân sự,Tranh chấp dân sự,26,9,"Tranh chấp đất đai theo pháp luật đất đai; tranh chấp quyền sở hữu, quyền sử dụng rừng theo Luật Bảo vệ và phát triển rừng","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 9",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_10,Dân sự,Tranh chấp dân sự,26,10,Tranh chấp liên quan đến hoạt động nghiệp vụ báo chí theo pháp luật về báo chí,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 10",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_11,Dân sự,Tranh chấp dân sự,26,11,Tranh chấp liên quan đến yêu cầu tuyên bố văn bản công chứng vô hiệu,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 11",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_12,Dân sự,Tranh chấp dân sự,26,12,Tranh chấp liên quan đến tài sản bị cưỡng chế để thi hành án theo pháp luật thi hành án dân sự,"Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 12",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_13,Dân sự,Tranh chấp dân sự,26,13,"Tranh chấp về kết quả bán đấu giá tài sản, thanh toán phí tổn đăng ký mua tài sản bán đấu giá theo pháp luật thi hành án dân sự","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 13",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D26_14,Dân sự,Tranh chấp dân sự,26,14,"Các tranh chấp khác về dân sự, trừ trường hợp thuộc thẩm quyền của cơ quan, tổ chức khác","Điều 26 Bộ luật Tố tụng dân sự, khoản/mục 14",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D27_1,Dân sự,Việc dân sự,27,1,"Yêu cầu tuyên bố hoặc hủy bỏ quyết định tuyên bố một người mất năng lực hành vi dân sự, bị hạn chế năng lực hành vi dân sự hoặc có khó khăn trong nhận thức, làm chủ hành vi","Điều 27 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D27_2,Dân sự,Việc dân sự,27,2,Yêu cầu thông báo tìm kiếm người vắng mặt tại nơi cư trú và quản lý tài sản của người đó,"Điều 27 Bộ luật Tố tụng dân sự, khoản/mục 2",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
DS_D27_3,Dân sự,Việc dân sự,27,3,Yêu cầu tuyên bố hoặc hủy bỏ quyết định tuyên bố một người mất tích,"Điều 27 Bộ luật Tố tụng dân sự, khoản/mục 3",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
