seed_id,case_group,case_type,article,item_no,name,legal_basis,source_document,source_url,chapter,chapter_name,notes
LD_D32_1,Lao động,Tranh chấp lao động,32,1,"Tranh chấp lao động cá nhân giữa người lao động với người sử dụng lao động phải qua hòa giải nhưng hòa giải thành không thực hiện/không đúng, hòa giải không thành hoặc hết thời hạn hòa giải mà hòa giải viên không tiến hành hòa giải","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_a,Lao động,Tranh chấp lao động,32,1.a,Tranh chấp về xử lý kỷ luật lao động theo hình thức sa thải hoặc về trường hợp bị đơn phương chấm dứt hợp đồng lao động,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.a",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_b,Lao động,Tranh chấp lao động,32,1.b,"Tranh chấp về bồi thường thiệt hại, trợ cấp khi chấm dứt hợp đồng lao động","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.b",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_c,Lao động,Tranh chấp lao động,32,1.c,Tranh chấp giữa người giúp việc gia đình với người sử dụng lao động,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.c",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_d,Lao động,Tranh chấp lao động,32,1.d,"Tranh chấp về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp, bảo hiểm tai nạn lao động, bệnh nghề nghiệp","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.d",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_dd,Lao động,Tranh chấp lao động,32,1.dd,"Tranh chấp về bồi thường thiệt hại giữa người lao động với doanh nghiệp, tổ chức đưa người lao động đi làm việc ở nước ngoài theo hợp đồng","Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.dd",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1_e,Lao động,Tranh chấp lao động,32,1.e,Tranh chấp giữa người lao động thuê lại với người sử dụng lao động thuê lại,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1.e",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1a,Lao động,Tranh chấp lao động,32,1a,Tranh chấp lao động cá nhân đã chọn Hội đồng trọng tài lao động nhưng Ban trọng tài không được thành lập/không ra quyết định/một bên không thi hành quyết định,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1a",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1b,Lao động,Tranh chấp lao động,32,1b,Tranh chấp lao động tập thể về quyền đã qua hòa giải nhưng hòa giải không thành/hết thời hạn hòa giải/một bên không thực hiện biên bản hòa giải thành,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1b",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
LD_D32_1c,Lao động,Tranh chấp lao động,32,1c,Tranh chấp lao động tập thể về quyền đã chọn Hội đồng trọng tài lao động nhưng Ban trọng tài không được thành lập/không ra quyết định/một bên không thi hành quyết định,"Điều 32 Bộ luật Tố tụng dân sự, khoản/mục 1c",Bộ luật Tố tụng dân sự - VBHN 99/VBHN-VPQH năm 2025,https://datafiles.chinhphu.vn/cpp/files/vbpq/2025/9/99-vbhn-vpqh.pdf,,,Danh mục cấp luật; không tự mở rộng thành các quan hệ chi tiết ngoài câu chữ điều luật.
